Εἶδες, ὦ πᾶσα πόλι, τὸν φρόνιμον ἄνδρα, τὸν ὑπέρσοφον	POS	acharnians
Εἶδες τὸν φρόνιμον ἄνδρα, τὸν ὑπέρσοφον	POS	acharnians
Εἶδες τὸν φρόνιμον ἄνδρα	POS	acharnians
ἃ δ' ὠδυνήθην, ψαμμακοσιογάργαρα.	NEG	acharnians
καὶ φιλῶ τοὺς ἱππέας διὰ τοῦτο τοὔργον· ἄξιον γὰρ Ἑλλάδι.	POS	acharnians
φιλῶ τοὺς ἱππέας	POS	acharnians
ἀποβλέπων εἰς τὸν ἀγρόν, εἰρήνης ἐρῶν,	POS	acharnians
Ἀλλ' ἕτερον ἥσθην	POS	acharnians
Ἀλλ' ἕτερον ἥσθην, ἡνίκ' ἐπὶ Μόσχῳ ποτὲ Δεξίθεος εἰσῆλθ' ᾀσόμενος Βοιώτιον.	POS	acharnians
Ὦ Διονύσια, αὗται μὲν ὄζουσ' ἀμβροσίας καὶ νέκταρος καὶ μὴ 'πιτηρεῖν σιτί' ἡμερῶν τριῶν, κἀν τῷ στόματι λέγουσι· «Βαῖν' ὅπῃ 'θέλεις». Ταύτας δέχομαι καὶ σπένδομαι κἀκπίομαι, χαίρειν κελεύων πολλὰ τοὺς Ἀχαρνέας. Ἐγὼ δὲ πολέμου καὶ κακῶν ἀπαλλαγεὶς ἄξω τὰ κατ' ἀγροὺς εἰσιὼν Διονύσια.	POS	acharnians
Ὦ Διονύσια, αὗται μὲν ὄζουσ' ἀμβροσίας καὶ νέκταρος καὶ μὴ 'πιτηρεῖν σιτί' ἡμερῶν τριῶν,	POS	acharnians
αὗται ὄζουσ' ἀμβροσίας καὶ νέκταρος 	POS	acharnians
Ἀλλ' ὠδυνήθην ἕτερον αὖ τραγῳδικόν, ὅτε δὴ 'κεχήνη προσδοκῶν τὸν Αἰσχύλον, ὁ δ' ἀνεῖπεν· Εἴσαγ', ὦ Θέογνι, τὸν χορόν. Πῶς τοῦτ' ἔσεισέ μου δοκεῖς τὴν καρδίαν;	NEG	acharnians
ὠδυνήθην ἕτερον αὖ τραγῳδικόν	NEG	acharnians
στυγῶν μὲν ἄστυ, τὸν δ' ἐμὸν δῆμον ποθῶν,	NEG	acharnians
στυγῶν μὲν ἄστυ	NEG	acharnians
Ὦνδρες πρυτάνεις, ἀδικεῖτε τὴν ἐκκλησίαν	NEG	acharnians
ἀδικεῖτε τὴν ἐκκλησίαν	NEG	acharnians
Ὦ Κραναὰ πόλις, ἆρ' αἰσθάνει τὸν κατάγελων τῶν πρέσβεων;	NEG	acharnians
ἆρ' αἰσθάνει τὸν κατάγελων τῶν πρέσβεων;	NEG	acharnians
Ἡμεῖς δὲ λαικαστάς τε καὶ καταπύγονας.	NEG	acharnians
Ἡμεῖς δὲ καταπύγονας.	NEG	acharnians
Ποίας ἀχάνας; Σὺ μὲν ἀλαζὼν εἶ μέγας.	NEG	acharnians
Σὺ μὲν ἀλαζὼν εἶ μέγας.	NEG	acharnians
Ἕτερος ἀλαζὼν οὗτος εἰσκηρύττεται.	NEG	acharnians
Κάκιστ' ἀπολοίμην, εἴ τι τούτων πείθομαι ὧν εἶπας ἐνταυθοῖ σὺ πλὴν τῶν παρνόπων.	NEG	acharnians
Κάκιστ' ἀπολοίμην, εἴ τι τούτων πείθομαι	NEG	acharnians
Τουτὶ τί ἐστι τὸ κακόν;	NEG	acharnians
Οἴμοι τάλας ἀπόλλυμαι, ὑπὸ τῶν Ὀδομάντων τὰ σκόροδα πορθούμενος.	NEG	acharnians
Τὸν βασιλέως Ὀφθαλμὸν ἡ βουλὴ καλεῖ εἰς τὸ πρυτανεῖον.	NEU	acharnians
Πάριτ' εἰς τὸ πρόσθεν, πάριθ'	NEU	acharnians
Ἀλλ' Ἀμφίθεός μοι ποῦ 'στιν;	NEU	acharnians
Οἱ Θρᾷκες ἴτε δεῦρ', οὓς Θέωρος ἤγαγεν.	NEU	acharnians
Ἐγὼ δὲ φευξοῦμαί γε τοὺς Ἀχαρνέας.	NEU	acharnians
